,index,param count,year,date,Type
114,57,1500000000,2023,2023-09-27,Models used in research
115,110,70000000000,2023,2023-09-29,Models used in research
116,129,7000000000,2023,2023-10-01,Models used in research
117,102,70000000000,2023,2023-10-02,Models used in research
118,113,680000000,2023,2023-10-02,Models used in research
119,99,13000000000,2023,2023-10-02,Models used in research
120,96,70000000000,2023,2023-10-03,Models used in research
121,84,6000000000,2023,2023-10-03,Models used in research
122,39,11300000000,2023,2023-10-05,Models used in research
123,55,124000000,2023,2023-10-06,Models used in research
124,100,70000000000,2023,2023-10-10,Models used in research
125,71,355000000,2023,2023-10-12,Models used in research
126,33,3000000000,2023,2023-10-16,Models used in research
127,50,124000000,2023,2023-10-16,Models used in research
128,88,70000000000,2023,2023-10-23,Models used in research
129,42,137000000,2023,2023-10-23,Models used in research
130,163,1400000000,2023,2023-10-24,Models used in research
131,172,30000000000,2023,2023-10-24,Models used in research
132,159,124000000,2023,2023-10-25,Models used in research
133,67,410000000,2023,2023-10-26,Models used in research
134,158,70000000,2023,2023-11-01,Models used in research
135,162,355000000,2023,2023-11-07,Models used in research
136,94,7000000000,2023,2023-11-07,Models used in research
137,109,70000000000,2023,2023-12-04,Models used in research
138,98,70000000000,2023,2023-12-13,Models used in research
139,170,7000000000,2023,2023-12-14,Models used in research
140,105,7000000000,2023,2023-12-19,Models used in research
141,169,7000000000,2023,2023-12-21,Models used in research
142,171,13000000000,2023,2023-12-28,Models used in research
143,108,7000000000,2024,2024-01-09,Models used in research
144,93,13000000000,2024,2024-01-11,Models used in research
145,97,70000000000,2024,2024-01-15,Models used in research
146,60,6000000000,2024,2024-01-15,Models used in research
147,81,1500000000,2024,2024-01-22,Models used in research
148,77,124000000,2024,2024-01-23,Models used in research
149,157,70000000000,2024,2024-01-23,Models used in research
150,156,2000000000,2024,2024-01-30,Models used in research
151,119,6700000000,2024,2024-02-01,Models used in research
152,76,124000000,2024,2024-02-02,Models used in research
153,54,124000000,2024,2024-02-03,Models used in research
154,85,13000000000,2024,2024-02-06,Models used in research
155,155,7000000000,2024,2024-02-08,Models used in research
156,41,1610000000,2024,2024-02-11,Models used in research
157,114,7000000000,2024,2024-02-14,Models used in research
158,111,7000000000,2024,2024-02-15,Models used in research
159,127,70000000,2024,2024-02-16,Models used in research
160,154,7000000000,2024,2024-02-17,Models used in research
161,124,6900000000,2024,2024-02-19,Models used in research
162,65,330000000,2024,2024-02-20,Models used in research
163,153,7000000000,2024,2024-02-22,Models used in research
164,48,774000000,2024,2024-02-23,Models used in research
165,123,160000000,2024,2024-02-23,Models used in research
166,92,70000000000,2024,2024-02-26,Models used in research
167,121,125000000,2024,2024-02-27,Models used in research
168,152,13000000000,2024,2024-02-27,Models used in research
169,107,7000000000,2024,2024-02-27,Models used in research
170,122,12000000000,2024,2024-03-01,Models used in research
171,151,70000000000,2024,2024-03-03,Models used in research
172,101,7000000000,2024,2024-03-06,Models used in research
173,75,124000000,2024,2024-03-06,Models used in research
174,74,124000000,2024,2024-03-10,Models used in research
175,106,70000000000,2024,2024-03-16,Models used in research
176,91,7000000000,2024,2024-03-21,Models used in research
177,73,124000000,2024,2024-03-26,Models used in research
178,150,125000000,2024,2024-03-28,Models used in research
179,126,70000000,2024,2024-03-28,Models used in research
180,90,7000000000,2024,2024-03-28,Models used in research
181,72,124000000,2024,2024-03-29,Models used in research
182,89,13000000000,2024,2024-04-04,Models used in research
183,149,70000000000,2024,2024-04-04,Models used in research
184,139,7000000000,2024,2024-04-09,Models used in research
185,148,2800000000,2024,2024-04-11,Models used in research
186,56,1500000000,2024,2024-04-19,Models used in research
187,147,34000000000,2024,2024-04-24,Models used in research
188,40,7000000000,2024,2024-04-24,Models used in research
189,130,72000000000,2024,2024-06-17,Models used in research
